track_name,artist(s)_name,released_year,similarity
Wild Flower (with youjeen),RM,2022,0.9806390125438997
Chemical,Post Malone,2023,0.9766176881286537
Unstoppable,Sia,2016,0.971422851730166
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2021,0.9612779639966348
10 Things I Hate About You,Leah Kate,2022,0.9551745027799141
Plan A,Paulo Londra,2022,0.9307738291498777
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2023,0.9260475899929712
Notion,The Rare Occasions,2016,0.9138224049221936
Less Than Zero,The Weeknd,2022,0.908806756408603
Mr. Brightside,The Killers,2003,0.8857602340806322
