track_name,artist(s)_name,released_year,similarity
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,2023,0.8953163264028688
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2021,0.882578580959352
CUFF IT,Beyoncï¿,2022,0.8740827280588014
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2021,0.8679919140506442
ELEVEN,IVE,2021,0.8625723652755513
Take My Breath,The Weeknd,2021,0.8573545951949275
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1968,0.856271914353307
We Found Love,"Rihanna, Calvin Harris",2011,0.8556202598304425
Rolling in the Deep,Adele,2010,0.8497073383988506
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,0.849208010034042
